Date,Close_THBUSD
1/1/2019,0.031
1/2/2019,0.0309
1/3/2019,0.031
1/4/2019,0.0311
1/7/2019,0.0313
1/8/2019,0.0313
1/9/2019,0.0312
1/10/2019,0.0314
1/11/2019,0.0313
1/14/2019,0.0313
1/15/2019,0.0313
1/16/2019,0.0314
1/17/2019,0.0316
1/18/2019,0.0316
1/21/2019,0.0315
1/22/2019,0.0314
1/23/2019,0.0315
1/24/2019,0.0316
1/25/2019,0.0316
1/28/2019,0.0317
1/29/2019,0.0318
1/30/2019,0.0318
1/31/2019,0.032
2/1/2019,0.032
2/4/2019,0.032
2/5/2019,0.032
2/6/2019,0.032
2/7/2019,0.032
2/8/2019,0.032
2/11/2019,0.0325
2/12/2019,0.0319
2/13/2019,0.032
2/14/2019,0.0319
2/15/2019,0.032
2/18/2019,0.032
2/19/2019,0.0321
2/20/2019,0.0321
2/21/2019,0.0322
2/22/2019,0.032
2/25/2019,0.0319
2/26/2019,0.032
2/27/2019,0.032
2/28/2019,0.0318
3/1/2019,0.0317
3/4/2019,0.0315
3/5/2019,0.0314
3/6/2019,0.0315
3/7/2019,0.0314
3/8/2019,0.0314
3/11/2019,0.0315
3/12/2019,0.0316
3/13/2019,0.0316
3/14/2019,0.0317
3/15/2019,0.0315
3/18/2019,0.0316
3/19/2019,0.0316
3/20/2019,0.0316
3/21/2019,0.0316
3/22/2019,0.0315
3/25/2019,0.0316
3/26/2019,0.0317
3/27/2019,0.0316
3/28/2019,0.0314
3/29/2019,0.0315
4/1/2019,0.0315
4/2/2019,0.0315
4/3/2019,0.0315
4/4/2019,0.0315
4/5/2019,0.0315
4/8/2019,0.0313
4/9/2019,0.0314
4/10/2019,0.0315
4/11/2019,0.0315
4/12/2019,0.0314
4/15/2019,0.0315
4/16/2019,0.0315
4/17/2019,0.0314
4/18/2019,0.0315
4/19/2019,0.0315
4/22/2019,0.0314
4/23/2019,0.0314
4/24/2019,0.0313
4/25/2019,0.0312
4/26/2019,0.0312
4/29/2019,0.0313
4/30/2019,0.0313
5/1/2019,0.0314
5/2/2019,0.0313
5/3/2019,0.0312
5/6/2019,0.0313
5/7/2019,0.0314
5/8/2019,0.0313
5/9/2019,0.0315
5/10/2019,0.0315
5/13/2019,0.0317
5/14/2019,0.0316
5/15/2019,0.0317
5/16/2019,0.0317
5/17/2019,0.0316
5/20/2019,0.0314
5/21/2019,0.0314
5/22/2019,null
5/23/2019,0.0313
5/24/2019,0.0314
5/27/2019,0.0314
5/28/2019,0.0315
5/29/2019,0.0314
5/30/2019,0.0314
5/31/2019,0.0315
6/3/2019,0.0317
6/4/2019,0.0319
6/5/2019,0.0319
6/6/2019,0.0319
6/7/2019,0.0319
6/10/2019,0.032
6/11/2019,0.0319
6/12/2019,0.032
6/13/2019,0.032
6/14/2019,0.0321
6/17/2019,0.032
6/18/2019,0.0319
6/19/2019,0.032
6/20/2019,0.0321
6/21/2019,0.0324
6/24/2019,0.0325
6/25/2019,0.0327
6/26/2019,0.0325
6/27/2019,0.0325
6/28/2019,0.0325
7/1/2019,0.0327
7/2/2019,0.0326
7/3/2019,0.0327
7/4/2019,0.0326
7/5/2019,0.0326
7/8/2019,0.0325
7/9/2019,0.0325
7/10/2019,0.0324
7/11/2019,0.0326
7/12/2019,0.0325
7/15/2019,0.0324
7/16/2019,0.0324
7/17/2019,0.0323
7/18/2019,0.0324
7/19/2019,0.0325
7/22/2019,0.0324
7/23/2019,0.0324
7/24/2019,0.0324
7/25/2019,0.0324
7/26/2019,0.0323
7/29/2019,0.0324
7/30/2019,0.0324
7/31/2019,0.0325
8/1/2019,0.0326
8/2/2019,0.0323
8/5/2019,0.0325
8/6/2019,0.0325
8/7/2019,0.0326
8/8/2019,0.0325
8/9/2019,0.0326
8/12/2019,0.0325
8/13/2019,0.0324
8/14/2019,0.0325
8/15/2019,0.0324
8/16/2019,0.0324
8/19/2019,0.0324
8/20/2019,0.0324
8/21/2019,0.0325
8/22/2019,0.0325
8/23/2019,0.0325
8/26/2019,0.0326
8/27/2019,0.0327
8/28/2019,0.0327
8/29/2019,0.0327
8/30/2019,0.0326
9/2/2019,0.0327
9/3/2019,0.0326
