Date,Close
2020-08-20,31.3
2020-08-21,31.4
2020-08-24,31.54
2020-08-25,31.5
2020-08-26,31.43
2020-08-27,31.23
2020-08-28,31.26
2020-08-31,31.09
2020-09-01,31.04
2020-09-02,31.14
2020-09-03,31.33
2020-09-04,31.4
2020-09-07,31.37
2020-09-08,31.37
2020-09-09,31.38
2020-09-10,31.26
2020-09-11,31.29
2020-09-14,31.3
2020-09-15,31.28
2020-09-16,31.21
2020-09-17,31.1
2020-09-18,31.16
2020-09-21,31.07
2020-09-22,31.32
2020-09-23,31.37
2020-09-24,31.56
2020-09-25,31.54
2020-09-28,31.6
2020-09-29,31.6
2020-09-30,31.56
2020-10-01,31.61
2020-10-02,31.57
2020-10-05,31.55
2020-10-06,31.27
2020-10-07,31.27
2020-10-08,31.19
2020-10-09,31.17
2020-10-12,31.05
2020-10-13,31.16
2020-10-14,31.24
2020-10-15,31.21
2020-10-16,31.21
2020-10-19,31.19
2020-10-20,31.2
2020-10-21,31.21
2020-10-22,31.19
2020-10-23,31.29
2020-10-26,31.29
2020-10-27,31.27
2020-10-28,31.22
2020-10-29,31.25
2020-10-30,31.22
2020-11-02,31.18
2020-11-03,31.1
2020-11-04,31
2020-11-05,31
2020-11-06,30.74
2020-11-09,30.56
2020-11-10,30.58
2020-11-11,30.3
2020-11-12,30.25
2020-11-13,30.21
2020-11-16,30.07
2020-11-17,30.16
2020-11-18,30.15
2020-11-19,30.33
2020-11-20,30.37
2020-11-23,30.24
2020-11-24,30.34
2020-11-25,30.32
2020-11-26,30.29
2020-11-27,30.29
2020-11-30,30.25
2020-12-01,30.26
2020-12-02,30.23
2020-12-03,30.19
2020-12-04,30.17
2020-12-07,30.16
2020-12-08,30.15
2020-12-09,30.02
2020-12-10,30.04
2020-12-11,30.04
2020-12-14,30.05
2020-12-15,30.08
2020-12-16,30.03
2020-12-17,29.97
2020-12-18,29.79
2020-12-21,29.92
2020-12-22,30.04
2020-12-23,30.22
2020-12-24,30.19
2020-12-25,30.02
2020-12-28,30.07
2020-12-29,30.14
2020-12-30,30.04
2020-12-31,29.92
2021-01-01,29.9
2021-01-04,29.95
2021-01-05,29.91
2021-01-06,29.92
2021-01-07,29.92
2021-01-08,30.07
2021-01-11,30.12
2021-01-12,30.16
2021-01-13,30.03
2021-01-14,29.99
2021-01-15,29.98
2021-01-18,30.06
2021-01-19,30.1
2021-01-20,29.96
2021-01-21,29.94
2021-01-22,29.93
2021-01-25,29.98
2021-01-26,29.98
2021-01-27,29.95
2021-01-28,30
2021-01-29,29.95
2021-02-01,29.91
2021-02-02,29.98
2021-02-03,29.99
2021-02-04,29.98
2021-02-05,30.06
2021-02-08,30.03
2021-02-09,29.97
2021-02-10,29.9
2021-02-11,29.88
2021-02-12,29.86
2021-02-15,29.87
2021-02-16,29.89
2021-02-17,29.95
2021-02-18,29.99
2021-02-19,29.99
2021-02-22,29.95
2021-02-23,29.98
2021-02-24,30.01
2021-02-25,30.04
2021-02-26,30.26
2021-03-01,30.34
2021-03-02,30.2
2021-03-03,30.25
2021-03-04,30.35
2021-03-05,30.43
2021-03-08,30.46
2021-03-09,30.8
2021-03-10,30.73
2021-03-11,30.69
2021-03-12,30.54
2021-03-15,30.71
2021-03-16,30.72
2021-03-17,30.74
2021-03-18,30.67
2021-03-19,30.87
2021-03-22,30.83
2021-03-23,30.87
2021-03-24,31.01
2021-03-25,31.02
2021-03-26,31.15
2021-03-29,31.14
2021-03-30,31.19
2021-03-31,31.28
2021-04-01,31.24
2021-04-02,31.19
2021-04-05,31.28
2021-04-06,31.33
2021-04-07,31.28
2021-04-08,31.36
2021-04-09,31.4
2021-04-12,31.47
2021-04-13,31.49
2021-04-14,31.46
2021-04-15,31.31
2021-04-16,31.15
2021-04-19,31.19
2021-04-20,31.2
2021-04-21,31.27
2021-04-22,31.31
2021-04-23,31.39
2021-04-26,31.39
2021-04-27,31.42
2021-04-28,31.34
2021-04-29,31.32
2021-04-30,31.17
2021-05-03,31.16
2021-05-04,31.12
2021-05-05,31.16
2021-05-06,31.13
2021-05-07,31.2
2021-05-10,31.03
2021-05-11,31.08
2021-05-12,31.16
2021-05-13,31.28
2021-05-14,31.34
2021-05-17,31.32
2021-05-18,31.47
2021-05-19,31.38
2021-05-20,31.43
2021-05-21,31.36
2021-05-24,31.36
2021-05-25,31.32
2021-05-26,31.34
2021-05-27,31.26
2021-05-28,31.28
2021-05-31,31.25
2021-06-01,31.17
2021-06-02,31.17
2021-06-03,31.11
2021-06-04,31.21
2021-06-07,31.14
2021-06-08,31.17
2021-06-09,31.2
2021-06-10,31.15
2021-06-11,31.12
2021-06-14,31.06
2021-06-15,31.11
2021-06-16,31.16
2021-06-17,31.3
2021-06-18,31.4
2021-06-21,31.47
2021-06-22,31.62
2021-06-23,31.69
2021-06-24,31.82
2021-06-25,31.9
2021-06-28,31.79
2021-06-29,31.9
2021-06-30,32.12
2021-07-01,31.98
2021-07-02,32.08
2021-07-05,32.14
2021-07-06,32.09
2021-07-07,32.29
2021-07-08,32.34
2021-07-09,32.53
2021-07-12,32.51
2021-07-13,32.66
2021-07-14,32.66
2021-07-15,32.6
2021-07-16,32.7
2021-07-19,32.81
2021-07-20,32.84
2021-07-21,32.82
2021-07-22,32.85
2021-07-23,32.88
2021-07-26,32.94
2021-07-27,32.88
2021-07-28,32.93
2021-07-29,32.81
2021-07-30,32.84
2021-08-02,32.92
2021-08-03,32.93
2021-08-04,33.01
2021-08-05,33.14
2021-08-06,33.26
2021-08-09,33.42
2021-08-10,33.46
2021-08-11,33.45
2021-08-12,33.1
2021-08-13,33.07
2021-08-16,33.31
2021-08-17,33.39
2021-08-18,33.34
2021-08-19,33.31
2021-08-20,33.35
2021-08-23,33.3
2021-08-24,33.24
2021-08-25,32.88
2021-08-26,32.74
2021-08-27,32.74
2021-08-30,32.52
2021-08-31,32.47
2021-09-01,32.17
2021-09-02,32.28
2021-09-03,32.44
2021-09-06,32.46
2021-09-07,32.47
2021-09-08,32.66
2021-09-09,32.75
2021-09-10,32.7
2021-09-13,32.71
2021-09-14,32.86
2021-09-15,32.89
2021-09-16,32.85
2021-09-17,33.12
2021-09-20,33.31
2021-09-21,33.34
2021-09-22,33.39
2021-09-23,33.43
2021-09-24,33.39
2021-09-27,33.4
2021-09-28,33.58
2021-09-29,33.84
2021-09-30,33.94
2021-10-01,33.68
2021-10-04,33.62
2021-10-05,33.78
2021-10-06,33.81
2021-10-07,33.8
2021-10-08,33.79
2021-10-11,33.9
2021-10-12,33.66
2021-10-13,33.32
2021-10-14,33.17
2021-10-15,33.17
2021-10-18,33.43
2021-10-19,33.45
2021-10-20,33.36
2021-10-21,33.35
2021-10-22,33.38
2021-10-25,33.29
2021-10-26,33.04
2021-10-27,33.18
2021-10-28,33.29
2021-10-29,33.19
2021-11-01,33.15
2021-11-02,33.3
2021-11-03,33.26
2021-11-04,33.25
2021-11-05,33.33
2021-11-08,33.14
2021-11-09,32.91
2021-11-10,32.75
2021-11-11,32.84
2021-11-12,32.83
2021-11-15,32.72
2021-11-16,32.74
2021-11-17,32.74
2021-11-18,32.62
2021-11-19,32.58
2021-11-22,32.8
2021-11-23,33.02
2021-11-24,33.13
2021-11-25,33.37
2021-11-26,33.41
2021-11-29,33.56
2021-11-30,33.67
2021-12-01,33.67
2021-12-02,33.73
2021-12-03,33.85
2021-12-06,33.78
2021-12-07,33.83
2021-12-08,33.61
2021-12-09,33.44
2021-12-10,33.58
2021-12-13,33.16
2021-12-14,33.41
2021-12-15,33.42
2021-12-16,33.4
2021-12-17,33.4
2021-12-20,33.28
2021-12-21,33.61
2021-12-22,33.63
2021-12-23,33.56
2021-12-24,33.51
2021-12-27,33.38
2021-12-28,33.51
2021-12-29,33.51
2021-12-30,33.45
2021-12-31,33.33
2022-01-03,33.11
2022-01-04,33.24
2022-01-05,33.24
2022-01-06,33.25
2022-01-07,33.55
2022-01-10,33.59
2022-01-11,33.62
2022-01-12,33.3
2022-01-13,33.25
2022-01-14,33.2
2022-01-17,33.16
2022-01-18,33.08
2022-01-19,33.1
2022-01-20,32.91
2022-01-21,32.91
2022-01-24,32.94
2022-01-25,32.99
2022-01-26,33
2022-01-27,33.11
2022-01-28,33.28
2022-01-31,33.4
2022-02-01,33.19
2022-02-02,33.18
2022-02-03,33.12
2022-02-04,33.07
2022-02-07,32.93
2022-02-08,32.97
2022-02-09,32.86
2022-02-10,32.71
2022-02-11,32.7
2022-02-14,32.68
2022-02-15,32.43
2022-02-16,32.35
2022-02-17,32.3
2022-02-18,32.1
2022-02-21,32.13
2022-02-22,32.26
2022-02-23,32.42
2022-02-24,32.27
2022-02-25,32.5
2022-02-28,32.68
2022-03-01,32.65
2022-03-02,32.73
2022-03-03,32.47
2022-03-04,32.56
2022-03-07,32.7
2022-03-08,33.01
2022-03-09,33.19
2022-03-10,32.97
2022-03-11,33.12
2022-03-14,33.26
2022-03-15,33.4
2022-03-16,33.51
2022-03-17,33.34
2022-03-18,33.22
2022-03-21,33.31
2022-03-22,33.58
2022-03-23,33.48
2022-03-24,33.63
2022-03-25,33.52
2022-03-28,33.63
2022-03-29,33.78
2022-03-30,33.49
2022-03-31,33.32
2022-04-01,33.24
2022-04-04,33.48
2022-04-05,33.44
2022-04-06,33.55
2022-04-07,33.57
2022-04-08,33.49
2022-04-11,33.54
2022-04-12,33.63
2022-04-13,33.55
2022-04-14,33.46
2022-04-15,33.66
2022-04-18,33.6
2022-04-19,33.68
2022-04-20,33.77
2022-04-21,33.78
2022-04-22,33.89
2022-04-25,33.95
2022-04-26,34.06
2022-04-27,34.24
2022-04-28,34.35
2022-04-29,34.43
2022-05-02,34.19
2022-05-03,34.46
2022-05-04,34.32
2022-05-05,34.05
2022-05-06,34.3
2022-05-09,34.36
2022-05-10,34.59
2022-05-11,34.65
2022-05-12,34.63
2022-05-13,34.73
2022-05-16,34.65
2022-05-17,34.7
2022-05-18,34.48
2022-05-19,34.57
2022-05-20,34.38
2022-05-23,34.32
2022-05-24,34.13
2022-05-25,34.09
2022-05-26,34.24
2022-05-27,34.22
2022-05-30,34.08
2022-05-31,34.09
2022-06-01,34.23
2022-06-02,34.36
2022-06-03,34.24
2022-06-06,34.34
2022-06-07,34.43
2022-06-08,34.41
2022-06-09,34.49
2022-06-10,34.55
2022-06-13,34.8
2022-06-14,34.84
2022-06-15,35.03
2022-06-16,34.84
2022-06-17,35.01
2022-06-20,35.22
2022-06-21,35.33
2022-06-22,35.29
2022-06-23,35.35
2022-06-24,35.48
2022-06-27,35.45
2022-06-28,35.36
2022-06-29,35.16
2022-06-30,35.08
2022-07-01,35.32
2022-07-04,35.58
2022-07-05,35.7
2022-07-06,35.97
2022-07-07,36.15
2022-07-08,36.07
2022-07-11,35.86
2022-07-12,36.23
2022-07-13,36.2
2022-07-14,36.23
2022-07-15,36.53
2022-07-18,36.56
2022-07-19,36.69
2022-07-20,36.57
2022-07-21,36.67
2022-07-22,36.75
2022-07-25,36.64
2022-07-26,36.66
2022-07-27,36.7
2022-07-28,36.64
2022-07-29,36.38
2022-08-01,36.29
2022-08-02,36.1
2022-08-03,36.2
2022-08-04,36.24
2022-08-05,35.82
2022-08-08,35.75
2022-08-09,35.53
2022-08-10,35.33
2022-08-11,35.32
2022-08-12,35.2
2022-08-15,35.3
2022-08-16,35.54
2022-08-17,35.37
2022-08-18,35.48
2022-08-19,35.63
2022-08-22,35.79
2022-08-23,36.12
2022-08-24,36.04
2022-08-25,36.06
2022-08-26,35.81
2022-08-29,36.29
2022-08-30,36.32
2022-08-31,36.44
2022-09-01,36.62
2022-09-02,36.77
2022-09-05,36.73
2022-09-06,36.54
2022-09-07,36.69
2022-09-08,36.52
2022-09-09,36.41
2022-09-12,36.37
2022-09-13,36.27
2022-09-14,36.6
2022-09-15,36.63
2022-09-16,36.94
2022-09-19,36.8
2022-09-20,36.9
2022-09-21,36.98
2022-09-22,37.21
2022-09-23,37.37
2022-09-26,37.58
2022-09-27,37.95
2022-09-28,37.97
2022-09-29,37.91
2022-09-30,37.86
2022-10-03,37.82
2022-10-04,37.8
2022-10-05,37.41
2022-10-06,37.44
2022-10-07,37.33
2022-10-10,37.59
2022-10-11,37.99
2022-10-12,38.09
2022-10-13,37.89
2022-10-14,38.02
2022-10-17,38.28
2022-10-18,38.08
2022-10-19,38.07
2022-10-20,38.3
2022-10-21,38.2
2022-10-24,38.05
2022-10-25,38.21
2022-10-26,37.95
2022-10-27,37.7
2022-10-28,37.79
2022-10-31,37.87
2022-11-01,38.06
2022-11-02,37.71
2022-11-03,37.83
2022-11-04,38.01
2022-11-07,37.43
2022-11-08,37.3
2022-11-09,36.91
2022-11-10,36.86
2022-11-11,36.16
2022-11-14,36.02
2022-11-15,35.68
2022-11-16,35.54
2022-11-17,35.8
2022-11-18,35.84
2022-11-21,35.76
2022-11-22,36.29
2022-11-23,36.09
2022-11-24,35.98
2022-11-25,35.78
2022-11-28,35.96
2022-11-29,35.78
2022-11-30,35.42
2022-12-01,35.07
2022-12-02,34.79
2022-12-05,34.67
2022-12-06,35.04
2022-12-07,35.04
2022-12-08,34.9
2022-12-09,34.73
2022-12-12,34.71
2022-12-13,34.84
2022-12-14,34.59
2022-12-15,34.52
2022-12-16,35.08
2022-12-19,34.82
2022-12-20,34.84
2022-12-21,34.66
2022-12-22,34.65
2022-12-23,34.83
2022-12-26,34.61
2022-12-27,34.66
2022-12-28,34.62
2022-12-29,34.7
2022-12-30,34.58
