Date,Open,High,Low,Close,Adj Close,Volume
2022-11-18,0.027902,0.028035,0.027855,0.027902,0.027902,0
2022-11-21,0.027968,0.027970,0.027563,0.027968,0.027968,0
2022-11-22,0.027556,0.027762,0.027558,0.027556,0.027556,0
2022-11-23,0.027709,0.027777,0.027563,0.027709,0.027709,0
2022-11-24,0.027793,0.028039,0.027739,0.027793,0.027793,0
2022-11-25,0.027949,0.028127,0.027902,0.027949,0.027949,0
2022-11-28,0.027812,0.028169,0.027728,0.027812,0.027812,0
2022-11-29,0.027945,0.028305,0.027925,0.027945,0.027945,0
2022-11-30,0.028235,0.028441,0.028153,0.028235,0.028235,0
2022-12-01,0.028514,0.028776,0.028502,0.028514,0.028514,0
2022-12-02,0.028744,0.028835,0.028568,0.028744,0.028744,0
2022-12-05,0.028843,0.028928,0.028547,0.028843,0.028843,0
2022-12-06,0.028539,0.028657,0.028458,0.028539,0.028539,0
2022-12-07,0.028541,0.028662,0.028441,0.028541,0.028541,0
2022-12-08,0.028653,0.028868,0.028645,0.028653,0.028653,0
2022-12-09,0.028794,0.028861,0.028719,0.028794,0.028794,0
2022-12-12,0.028812,0.028827,0.028703,0.028812,0.028812,0
2022-12-13,0.028703,0.028968,0.028678,0.028703,0.028703,0
2022-12-14,0.028910,0.028974,0.028860,0.028910,0.028910,0
2022-12-15,0.028969,0.028977,0.028498,0.028969,0.028969,0
2022-12-16,0.028503,0.028694,0.028459,0.028503,0.028503,0
2022-12-19,0.028686,0.028785,0.028653,0.028719,0.028719,0
2022-12-20,0.028703,0.028868,0.028547,0.028703,0.028703,0
2022-12-21,0.028852,0.028895,0.028681,0.028852,0.028852,0
2022-12-22,0.028860,0.028921,0.028702,0.028860,0.028860,0
2022-12-23,0.028711,0.028867,0.028629,0.028711,0.028711,0
2022-12-26,0.028894,0.028906,0.028752,0.028894,0.028894,0
2022-12-27,0.028852,0.028943,0.028838,0.028852,0.028852,0
2022-12-28,0.028885,0.028919,0.028744,0.028885,0.028885,0
2022-12-29,0.028818,0.028935,0.028789,0.028818,0.028818,0
2022-12-30,0.028918,0.029002,0.028868,0.028918,0.028918,0
2023-01-02,0.029033,0.029227,0.028877,0.029033,0.029033,0
2023-01-03,0.028994,0.029180,0.028994,0.028994,0.028994,0
2023-01-04,0.029087,0.029554,0.029053,0.029087,0.029087,0
2023-01-05,0.029509,0.029614,0.029274,0.029509,0.029509,0
2023-01-06,0.029377,0.029718,0.029350,0.029377,0.029377,0
2023-01-09,0.029737,0.029972,0.029674,0.029737,0.029737,0
2023-01-10,0.029925,0.030017,0.029765,0.029925,0.029925,0
2023-01-11,0.029895,0.030066,0.029762,0.029895,0.029895,0
2023-01-12,0.029974,0.030200,0.029886,0.029974,0.029974,0
2023-01-13,0.030210,0.030386,0.030130,0.030210,0.030210,0
2023-01-16,0.030417,0.030580,0.030221,0.030417,0.030417,0
2023-01-17,0.030285,0.030358,0.030148,0.030285,0.030285,0
2023-01-18,0.030303,0.030529,0.030157,0.030303,0.030303,0
2023-01-19,0.030303,0.030353,0.030157,0.030303,0.030303,0
2023-01-20,0.030414,0.030581,0.030371,0.030414,0.030414,0
2023-01-23,0.030569,0.030713,0.030441,0.030569,0.030569,0
2023-01-24,0.030572,0.030590,0.030414,0.030572,0.030572,0
2023-01-25,0.030516,0.030588,0.030414,0.030516,0.030516,0
2023-01-26,0.030552,0.030680,0.030441,0.030552,0.030552,0
2023-01-27,0.030506,0.030525,0.030357,0.030506,0.030506,0
2023-01-30,0.030520,0.030624,0.030497,0.030520,0.030520,0
2023-01-31,0.030525,0.030555,0.030237,0.030525,0.030525,0
2023-02-01,0.030428,0.030506,0.030349,0.030428,0.030428,0
2023-02-02,0.030560,0.030628,0.030311,0.030560,0.030560,0
2023-02-03,0.030257,0.030386,0.029940,0.030257,0.030257,0
2023-02-06,0.029823,0.029919,0.029585,0.029823,0.029823,0
2023-02-07,0.029630,0.029809,0.029623,0.029630,0.029630,0
2023-02-08,0.029845,0.029940,0.029750,0.029845,0.029845,0
2023-02-09,0.029864,0.029985,0.029780,0.029864,0.029864,0
2023-02-10,0.029797,0.029809,0.029577,0.029797,0.029797,0
2023-02-13,0.030005,0.030005,0.029490,0.030005,0.030005,0
2023-02-14,0.029595,0.029687,0.029470,0.029595,0.029595,0
2023-02-15,0.029542,0.029551,0.029011,0.029542,0.029542,0
2023-02-16,0.029189,0.029320,0.028998,0.029189,0.029189,0
2023-02-17,0.029070,0.029087,0.028877,0.029070,0.029070,0
2023-02-20,0.029055,0.029162,0.028994,0.029055,0.029055,0
2023-02-21,0.029082,0.029117,0.028833,0.029082,0.029082,0
2023-02-22,0.028860,0.028970,0.028823,0.028860,0.028860,0
2023-02-23,0.028860,0.029011,0.028785,0.028860,0.028860,0
2023-02-24,0.028808,0.028887,0.028580,0.028808,0.028808,0
2023-02-27,0.028621,0.028646,0.028444,0.028621,0.028621,0
2023-02-28,0.028580,0.028620,0.028269,0.028580,0.028580,0
2023-03-01,0.028400,0.028896,0.028289,0.028400,0.028400,0
2023-03-02,0.028828,0.028847,0.028611,0.028828,0.028828,0
2023-03-03,0.028719,0.028935,0.028703,0.028719,0.028719,0
2023-03-06,0.028958,0.029087,0.028865,0.028958,0.028958,0
2023-03-07,0.029042,0.029044,0.028523,0.029042,0.029042,0
2023-03-08,0.028527,0.028658,0.028423,0.028527,0.028527,0
2023-03-09,0.028536,0.028645,0.028462,0.028536,0.028536,0
2023-03-10,0.028571,0.028944,0.028458,0.028571,0.028571,0
2023-03-13,0.028914,0.029055,0.028794,0.028914,0.028914,0
2023-03-14,0.028969,0.029051,0.028877,0.028969,0.028969,0
2023-03-15,0.028950,0.029022,0.028777,0.028950,0.028950,0
2023-03-16,0.028935,0.029138,0.028885,0.028935,0.028935,0
2023-03-17,0.029044,0.029410,0.029044,0.029044,0.029044,0
2023-03-20,0.029362,0.029429,0.029269,0.029362,0.029362,0
2023-03-21,0.029381,0.029408,0.029037,0.029381,0.029381,0
2023-03-22,0.029059,0.029118,0.028944,0.029059,0.029059,0
2023-03-23,0.029231,0.029420,0.029223,0.029231,0.029231,0
2023-03-24,0.029386,0.029388,0.029172,0.029386,0.029386,0
2023-03-27,0.029248,0.029283,0.029011,0.029248,0.029248,0
2023-03-28,0.029061,0.029241,0.029053,0.029061,0.029061,0
2023-03-29,0.029214,0.029313,0.029115,0.029214,0.029214,0
2023-03-30,0.029265,0.029291,0.029121,0.029265,0.029265,0
2023-03-31,0.029313,0.029400,0.029240,0.029313,0.029313,0
2023-04-03,0.029172,0.029275,0.029016,0.029172,0.029172,0
2023-04-04,0.029240,0.029394,0.029152,0.029240,0.029240,0
2023-04-05,0.029403,0.029609,0.029384,0.029403,0.029403,0
2023-04-06,0.029464,0.029472,0.029274,0.029464,0.029464,0
2023-04-07,0.029308,0.029386,0.029257,0.029308,0.029308,0
2023-04-10,0.029265,0.029267,0.029061,0.029265,0.029265,0
2023-04-11,0.029104,0.029248,0.029080,0.029104,0.029104,0
2023-04-12,0.029180,0.029324,0.029172,0.029180,0.029180,0
2023-04-13,0.029307,0.029431,0.029262,0.029307,0.029307,0
2023-04-14,0.029411,0.029464,0.029070,0.029411,0.029411,0
2023-04-17,0.029121,0.029206,0.028983,0.029121,0.029121,0
2023-04-18,0.028998,0.029235,0.028986,0.028998,0.028998,0
2023-04-19,0.029172,0.029223,0.028984,0.029172,0.029172,0
2023-04-20,0.029052,0.029193,0.028986,0.029052,0.029052,0
2023-04-21,0.029155,0.029180,0.029019,0.029155,0.029155,0
2023-04-24,0.029115,0.029112,0.028969,0.029115,0.029115,0
2023-04-25,0.029163,0.029216,0.029028,0.029163,0.029163,0
2023-04-26,0.029146,0.029370,0.029095,0.029146,0.029146,0
2023-04-27,0.029300,0.029386,0.029231,0.029300,0.029300,0
2023-04-28,0.029338,0.029392,0.029240,0.029338,0.029338,0
2023-05-01,0.029300,0.029335,0.029189,0.029300,0.029300,0
2023-05-02,0.029245,0.029362,0.029206,0.029245,0.029245,0
2023-05-03,0.029351,0.029472,0.029339,0.029351,0.029351,0
2023-05-04,0.029542,0.029638,0.029525,0.029542,0.029542,0
2023-05-05,0.029603,0.029735,0.029479,0.029603,0.029603,0
2023-05-08,0.029533,0.029603,0.029402,0.029533,0.029533,0
2023-05-09,0.029577,0.029735,0.029516,0.029577,0.029577,0
2023-05-10,0.029700,0.029863,0.029645,0.029700,0.029700,0
2023-05-11,0.029735,0.029797,0.029560,0.029735,0.029735,0
2023-05-12,0.029602,0.029582,0.029412,0.029602,0.029602,0
2023-05-15,0.029516,0.029719,0.029490,0.029516,0.029516,0
2023-05-16,0.029621,0.029682,0.029369,0.029621,0.029621,0
2023-05-17,0.029344,0.029351,0.029121,0.029344,0.029344,0
2023-05-18,0.029197,0.029326,0.029019,0.029197,0.029197,0
2023-05-19,0.029061,0.029158,0.028974,0.029061,0.029061,0
2023-05-22,0.029173,0.029206,0.028969,0.029173,0.029173,0
2023-05-23,0.029019,0.029053,0.028785,0.029019,0.029019,0
2023-05-24,0.028893,0.029052,0.028852,0.028893,0.028893,0
2023-05-25,0.028855,0.028935,0.028769,0.028855,0.028855,0
2023-05-26,0.028794,0.028918,0.028752,0.028794,0.028794,0
2023-05-29,0.028794,0.028852,0.028668,0.028794,0.028794,0
2023-05-30,0.028810,0.028902,0.028669,0.028810,0.028810,0
2023-05-31,0.028818,0.028893,0.028727,0.028818,0.028818,0
2023-06-01,0.028877,0.028939,0.028666,0.028877,0.028877,0
2023-06-02,0.028918,0.029002,0.028777,0.028918,0.028918,0
2023-06-05,0.028703,0.028805,0.028645,0.028703,0.028703,0
2023-06-06,0.028769,0.028818,0.028694,0.028769,0.028769,0
2023-06-07,0.028791,0.028841,0.028727,0.028791,0.028791,0
2023-06-08,0.028733,0.028886,0.028644,0.028733,0.028733,0
2023-06-09,0.028899,0.028951,0.028852,0.028899,0.028899,0
2023-06-12,0.028910,0.028960,0.028794,0.028910,0.028910,0
2023-06-13,0.028893,0.029033,0.028818,0.028893,0.028893,0
2023-06-14,0.028843,0.028920,0.028810,0.028843,0.028843,0
2023-06-15,0.028870,0.028915,0.028678,0.028870,0.028870,0
2023-06-16,0.028918,0.028947,0.028810,0.028918,0.028918,0
2023-06-19,0.028835,0.028843,0.028744,0.028835,0.028835,0
2023-06-20,0.028788,0.028852,0.028686,0.028788,0.028788,0
2023-06-21,0.028721,0.028736,0.028653,0.028721,0.028721,0
2023-06-22,0.028760,0.028760,0.028474,0.028760,0.028760,0
2023-06-23,0.028486,0.028515,0.028350,0.028486,0.028486,0
2023-06-26,0.028409,0.028466,0.028352,0.028409,0.028409,0
2023-06-27,0.028393,0.028458,0.028345,0.028393,0.028393,0
2023-06-28,0.028353,0.028369,0.028058,0.028353,0.028353,0
2023-06-29,0.028098,0.028130,0.027995,0.028098,0.028098,0
2023-06-30,0.028074,0.028383,0.028016,0.028074,0.028074,0
2023-07-03,0.028329,0.028620,0.028321,0.028329,0.028329,0
2023-07-04,0.028547,0.028725,0.028490,0.028547,0.028547,0
2023-07-05,0.028695,0.028727,0.028588,0.028695,0.028695,0
2023-07-06,0.028601,0.028612,0.028377,0.028601,0.028601,0
2023-07-07,0.028425,0.028569,0.028337,0.028425,0.028425,0
2023-07-10,0.028466,0.028531,0.028391,0.028466,0.028466,0
2023-07-11,0.028539,0.028804,0.028514,0.028539,0.028539,0
2023-07-12,0.028777,0.028881,0.028539,0.028777,0.028777,0
2023-07-13,0.028865,0.029002,0.028829,0.028865,0.028865,0
2023-07-14,0.028944,0.028966,0.028811,0.028944,0.028944,0
2023-07-17,0.028877,0.028944,0.028804,0.028877,0.028877,0
2023-07-18,0.028910,0.029466,0.028902,0.028910,0.028910,0
2023-07-19,0.029369,0.029479,0.029257,0.029369,0.029369,0
2023-07-20,0.029417,0.029625,0.029206,0.029417,0.029417,0
2023-07-21,0.029248,0.029257,0.029012,0.029248,0.029248,0
2023-07-24,0.029070,0.029112,0.028938,0.029070,0.029070,0
2023-07-25,0.028944,0.029087,0.028902,0.028944,0.028944,0
2023-07-26,0.029080,0.029240,0.028952,0.029080,0.029080,0
2023-07-27,0.029219,0.029418,0.029002,0.029219,0.029219,0
2023-07-28,0.029024,0.029231,0.028935,0.029024,0.029024,0
2023-07-31,0.029189,0.029342,0.029154,0.029206,0.029206,0
2023-08-01,0.029209,0.029300,0.029058,0.029209,0.029209,0
2023-08-02,0.029163,0.029223,0.028968,0.029163,0.029163,0
2023-08-03,0.029028,0.029081,0.028826,0.029028,0.029028,0
2023-08-04,0.028935,0.028954,0.028734,0.028935,0.028935,0
2023-08-07,0.028877,0.028897,0.028671,0.028877,0.028877,0
2023-08-08,0.028719,0.028727,0.028523,0.028719,0.028719,0
2023-08-09,0.028571,0.028698,0.028514,0.028571,0.028571,0
2023-08-10,0.028527,0.028687,0.028448,0.028527,0.028527,0
2023-08-11,0.028474,0.028574,0.028425,0.028474,0.028474,0
2023-08-14,0.028502,0.028500,0.028305,0.028502,0.028502,0
2023-08-15,0.028385,0.028412,0.028220,0.028385,0.028385,0
2023-08-16,0.028241,0.028340,0.028180,0.028241,0.028241,0
2023-08-17,0.028194,0.028300,0.028095,0.028194,0.028194,0
2023-08-18,0.028194,0.028307,0.028169,0.028194,0.028194,0
